City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,San Patricio,US,2023-01-13 03:55:01,28.017,-97.5169,62.46,48,62,10.31
177,Luena,AO,2023-01-13 03:55:01,-11.7833,19.9167,61.48,99,100,5.95
178,Langsa,ID,2023-01-13 03:55:02,4.4683,97.9683,82.49,69,99,2.82
179,Severo-Kurilsk,RU,2023-01-13 03:55:02,50.6789,156.125,25.56,70,96,26.64
180,Mae Sai,TH,2023-01-13 03:55:03,20.4335,99.8762,77.92,33,0,2.04
181,Pushkino,RU,2023-01-13 03:55:03,56.0172,37.8667,21.49,92,100,11.45
182,Vila Franca Do Campo,PT,2023-01-13 03:55:04,37.7167,-25.4333,61.21,94,100,9.78
183,Kondinskoye,RU,2023-01-13 03:55:04,59.6481,67.41,1.56,96,72,7.9
184,Simpang,ID,2023-01-13 03:55:05,-1.2667,104.0833,86.36,69,77,1.12
185,Ilulissat,GL,2023-01-13 03:55:05,69.2167,-51.1,-21.32,74,19,6.35
186,Coahuayana,MX,2023-01-13 03:55:06,18.7333,-103.6833,70.45,74,0,3.87
187,Estelle,US,2023-01-13 03:55:06,29.8458,-90.1067,60.8,62,0,5.01
188,Brunsbuttel,DE,2023-01-13 03:55:07,53.9,9.15,46.33,87,21,7.0
189,Ancuya,CO,2023-01-13 03:55:07,1.2703,-77.5157,64.83,93,95,1.97
190,Matamoros,MX,2023-01-13 03:55:07,25.5333,-103.25,59.11,28,0,5.5
191,Morgan City,US,2023-01-13 03:52:25,29.6994,-91.2068,57.2,58,0,12.66
192,Wuzhou,CN,2023-01-13 03:55:08,23.4833,111.3167,70.84,89,94,3.2
193,Saskylakh,RU,2023-01-13 03:55:09,71.9167,114.0833,-42.5,100,99,2.77
194,Marquette,US,2023-01-13 03:55:09,46.5333,-87.6335,24.33,89,100,13.31
195,Jilava,RO,2023-01-13 03:55:10,44.3333,26.0781,36.14,93,75,2.3
196,Tiksi,RU,2023-01-13 03:55:10,71.6872,128.8694,-42.81,98,81,6.49
197,Dabat,ET,2023-01-13 03:55:11,12.9842,37.765,51.22,84,95,5.44
198,Kawalu,ID,2023-01-13 03:55:11,-7.3817,108.2082,84.6,61,98,5.3
199,San Cristobal,VE,2023-01-13 03:55:12,7.7669,-72.225,68.18,91,55,1.66
200,Les Cayes,HT,2023-01-13 03:55:12,18.2,-73.75,72.45,86,1,2.71
201,Alekseyevka,RU,2023-01-13 03:55:13,50.6309,38.6903,18.73,95,99,9.06
202,Eyl,SO,2023-01-13 03:55:13,7.9803,49.8164,74.44,71,20,15.46
203,Cuamba,MZ,2023-01-13 03:55:13,-14.8031,36.5372,67.39,96,94,1.16
204,Vestmannaeyjar,IS,2023-01-13 03:55:15,63.4427,-20.2734,34.0,75,97,21.36
205,Torbay,CA,2023-01-13 03:55:15,47.6666,-52.7314,14.76,87,20,5.75
206,Cherskiy,RU,2023-01-13 03:55:15,68.75,161.3,-32.24,100,100,5.97
207,Hof,DE,2023-01-13 03:55:16,50.3167,11.9167,45.45,92,75,12.66
208,Georgetown,MY,2023-01-13 03:50:23,5.4112,100.3354,87.73,78,20,2.3
209,Hobyo,SO,2023-01-13 03:55:16,5.3505,48.5268,76.37,72,11,20.09
210,Toca,CO,2023-01-13 03:55:17,5.5639,-73.184,46.78,94,60,1.52
211,Cocula,MX,2023-01-13 03:55:18,20.3652,-103.8222,61.0,41,39,3.4
212,Baherden,TM,2023-01-13 03:55:18,38.4362,57.4316,13.46,62,2,12.88
213,Ryotsu,JP,2023-01-13 03:55:18,38.0833,138.4333,54.72,54,89,6.13
214,Lata,PT,2023-01-13 03:55:19,40.1629,-8.3327,49.08,86,100,2.57
215,Hambantota,LK,2023-01-13 03:55:19,6.1241,81.1185,73.74,94,20,4.61
216,Touros,BR,2023-01-13 03:55:20,-5.1989,-35.4608,78.71,76,1,12.24
217,Hofn,IS,2023-01-13 03:55:20,64.2539,-15.2082,24.21,68,86,14.03
218,Faya,SA,2023-01-13 03:55:20,18.3851,42.4509,50.52,73,5,5.1
