City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Guaraniacu,BR,-25.1008,-52.8781,72.95,92,89,5.35,light rain
329,Imbituba,BR,-28.24,-48.6703,88.86,68,99,17.52,overcast clouds
330,Nurota,UZ,40.5614,65.6886,2.08,76,3,7.18,clear sky
331,Yabelo,ET,4.8833,38.0833,66.78,22,12,12.82,few clouds
332,Tecolutla,MX,20.4833,-97.0167,71.46,49,47,17.76,scattered clouds
333,Fortuna,US,40.5982,-124.1573,53.94,95,100,5.01,light rain
334,Kununurra,AU,-15.7667,128.7333,76.98,94,100,3.44,overcast clouds
335,Vernon,CA,50.2581,-119.2691,38.3,95,100,3.44,overcast clouds
336,Kesan,TR,40.8558,26.6303,41.92,91,100,8.93,overcast clouds
337,Lomza,PL,53.1781,22.0593,44.42,85,100,12.68,overcast clouds
338,Ketchikan,US,55.3422,-131.6461,39.67,93,100,0.0,fog
339,Richards Bay,ZA,-28.783,32.0377,77.92,79,22,14.27,few clouds
340,Pangody,RU,65.85,74.4859,-8.77,98,100,15.12,light snow
341,Guisa,CU,20.255,-76.5386,84.94,44,15,5.46,few clouds
342,Sola,VU,-13.8833,167.55,79.48,77,96,6.53,heavy intensity rain
343,Jaicos,BR,-7.3592,-41.1378,98.2,26,39,6.08,scattered clouds
344,Winton,US,37.3894,-120.6133,59.02,59,0,12.66,clear sky
